date,daily_cases,Cumulative_cases,Rt0,Rt,rr
01-Mar,0,0,#DIV/0!,#DIV/0!,
02-Mar,0,0,#DIV/0!,#DIV/0!,
03-Mar,6,6,1,10,
04-Mar,0,6,0,0,
05-Mar,2,8,0.25,2.5,
06-Mar,0,8,0,0,
07-Mar,16,24,0.666666667,6.666666667,
08-Mar,0,24,0,0,
09-Mar,0,24,0,0,
10-Mar,29,53,0.547169811,5.471698113,
11-Mar,0,53,0,0,
12-Mar,11,64,0.171875,1.71875,
13-Mar,0,64,0,0,
14-Mar,0,64,0,0,
15-Mar,13,77,0.168831169,1.688311688,
16-Mar,0,77,0,0,
17-Mar,0,77,0,0,
18-Mar,15,92,0.163043478,1.630434783,
19-Mar,27,119,0.226890756,2.268907563,
20-Mar,0,119,0,0,
21-Mar,13,132,0.098484848,0.984848485,
22-Mar,0,132,0,0,
23-Mar,45,177,0.254237288,2.542372881,
24-Mar,50,227,0.220264317,2.202643172,
25-Mar,85,312,0.272435897,2.724358974,
26-Mar,0,312,0,0,
27-Mar,72,384,0.1875,1.875,
28-Mar,63,447,0.140939597,1.409395973,
29-Mar,102,549,0.18579235,1.857923497,
30-Mar,41,590,0.069491525,0.694915254,
31-Mar,53,643,0.082426128,0.824261275,
01-Apr,0,643,0,0,
02-Apr,150,793,0.189155107,1.891551072,
03-Apr,210,1003,0.209371884,2.093718843,5
04-Apr,481,1484,0.324123989,3.241239892,5
05-Apr,0,1484,0,0,
06-Apr,571,2055,0.277858881,2.778588808,
07-Apr,0,2055,0,0,
08-Apr,583,2638,0.221000758,2.210007582,5
09-Apr,0,2638,0,0,
10-Apr,331,2969,0.111485349,1.114853486,
11-Apr,746,3715,0.200807537,2.00807537,
12-Apr,0,3715,0,0,
13-Apr,387,4102,0.094344222,0.943442223,
14-Apr,398,4500,0.088444444,0.884444444,5
15-Apr,412,4912,0.083876221,0.838762215,
16-Apr,432,5344,0.080838323,0.808383234,
17-Apr,460,5804,0.079255686,0.792556857,
18-Apr,477,6281,0.075943321,0.759433211,
19-Apr,479,6760,0.070857988,0.708579882,5
20-Apr,484,7244,0.066813915,0.66813915,
21-Apr,490,7734,0.063356607,0.633566072,
22-Apr,483,8217,0.058780577,0.587805769,
23-Apr,518,8735,0.05930166,0.5930166,
24-Apr,525,9260,0.056695464,0.566954644,
25-Apr,0,9260,0,0,
26-Apr,1068,10328,0.103408211,1.034082107,
27-Apr,0,10328,0,0,
28-Apr,1031,11359,0.090765032,0.907650321,
29-Apr,0,11359,0,0,
30-Apr,1101,12460,0.088362761,0.883627608,
01-May,557,13017,0.042790197,0.427901974,
02-May,0,13017,0,0,
03-May,1125,14142,0.079550276,0.795502758,
04-May,0,14142,0,0,
05-May,1029,15171,0.067826775,0.678267748,
06-May,0,15171,0,0,
07-May,1048,16219,0.064615574,0.646155743,
08-May,553,16772,0.032971619,0.329716194,5
09-May,0,16772,0,0,
10-May,1405,18177,0.077295483,0.772954833,
11-May,0,18177,0,0,
12-May,1436,19613,0.073216744,0.73216744,
13-May,0,19613,0,0,
14-May,1423,21036,0.06764594,0.676459403,
15-May,747,21783,0.034292797,0.342927971,
16-May,0,21783,0,0,
17-May,1527,23310,0.065508366,0.655083655,
18-May,0,23310,0,0,
19-May,1705,25015,0.068159105,0.681591045,
20-May,0,25015,0,0,
21-May,941,25956,0.03625366,0.3625366,
22-May,849,26805,0.031673195,0.316731953,
23-May,994,27799,0.035756682,0.357566819,
24-May,812,28611,0.028380693,0.283806927,
25-May,781,29392,0.026571856,0.265718563,
26-May,882,30274,0.02913391,0.291339103,
27-May,779,31053,0.025086143,0.25086143,
28-May,883,31936,0.027649048,0.276490481,
29-May,563,32499,0.01732361,0.1732361,
30-May,638,33137,0.019253403,0.192534025,
31-May,726,33863,0.021439329,0.214393291,
01-Jun,661,34524,0.019146101,0.191461013,10
02-Jun,635,35159,0.018060809,0.180608095,
03-Jun,596,35755,0.016668997,0.166689973,
04-Jun,571,36326,0.015718769,0.157187689,
05-Jun,659,36985,0.017818034,0.178180343,
06-Jun,624,37609,0.016591773,0.165917732,
07-Jun,626,38235,0.016372434,0.163724336,
08-Jun,540,38775,0.013926499,0.13926499,20
09-Jun,568,39343,0.01443713,0.144371299,
10-Jun,528,39871,0.013242708,0.132427077,
11-Jun,603,40474,0.014898453,0.148984533,
12-Jun,479,40953,0.011696335,0.116963348,
13-Jun,513,41466,0.012371582,0.123715815,
14-Jun,491,41957,0.011702457,0.117024573,
15-Jun,304,42261,0.007193393,0.071933934,
16-Jun,342,42603,0.008027604,0.080276037,
17-Jun,346,42949,0.008056066,0.080560665,
18-Jun,382,43331,0.008815859,0.088158593,
19-Jun,388,43719,0.00887486,0.088748599,
20-Jun,,,,,
21-Jun,,,,,
22-Jun,,,,,
23-Jun,,,,,
24-Jun,,,,,
25-Jun,,,,,
26-Jun,,,,,
27-Jun,,,,,
28-Jun,,,,,
29-Jun,,,,,
30-Jun,,,,,
01-Jul,,,,,
02-Jul,,,,,
